onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right
173.18599999999998	2.5	Testing	BE	96	2	E	1.278	stimuli/4.jpeg	stimuli/5.jpeg	B	E
177.28599999999997	2.5	Testing	AD	97	2	A	0.6890000000000001	stimuli/2.jpeg	stimuli/6.jpeg	D	A
180.78599999999997	2.5	Testing	AD	98	1	A	0.5670000000000001	stimuli/6.jpeg	stimuli/2.jpeg	A	D
186.486	2.5	Testing	BE	99	2	E	1.131	stimuli/4.jpeg	stimuli/5.jpeg	B	E
191.386	2.5	Testing	AF	100	1	A	1.444	stimuli/6.jpeg	stimuli/3.jpeg	A	F
195.486	2.5	Testing	BC	101	2	C	0.439	stimuli/4.jpeg	stimuli/1.jpeg	B	C
200.986	2.5	Testing	BE	102	1	E	1.395	stimuli/5.jpeg	stimuli/4.jpeg	E	B
205.486	2.5	Testing	AD	103	2	A	0.777	stimuli/2.jpeg	stimuli/6.jpeg	D	A
210.986	2.5	Testing	DE	104	2	D	1.171	stimuli/5.jpeg	stimuli/2.jpeg	E	D
216.68599999999998	2.5	Testing	BE	105	1	E	1.315	stimuli/5.jpeg	stimuli/4.jpeg	E	B
220.18599999999998	2.5	Testing	AE	106	2	A	1.189	stimuli/5.jpeg	stimuli/6.jpeg	E	A
224.28599999999997	2.5	Testing	CE	107	1	C	0.773	stimuli/1.jpeg	stimuli/5.jpeg	C	E
228.78599999999997	2.5	Testing	DF	108	1	F	0.623	stimuli/3.jpeg	stimuli/2.jpeg	F	D
233.68599999999998	2.5	Testing	BF	109	1	F	0.48200000000000004	stimuli/3.jpeg	stimuli/4.jpeg	F	B
237.18599999999998	2.5	Testing	BD	110	2	D	0.535	stimuli/4.jpeg	stimuli/2.jpeg	B	D
241.68599999999998	2.5	Testing	AF	111	2	A	1.198	stimuli/3.jpeg	stimuli/6.jpeg	F	A
246.58599999999998	2.5	Testing	AE	112	2	A	0.7659999999999999	stimuli/5.jpeg	stimuli/6.jpeg	E	A
250.687	2.5	Testing	BD	113	1	D	0.812	stimuli/2.jpeg	stimuli/4.jpeg	D	B
256.187	2.5	Testing	BE	114	1	E	1.062	stimuli/5.jpeg	stimuli/4.jpeg	E	B
261.887	2.5	Testing	BF	115	1	F	0.6609999999999999	stimuli/3.jpeg	stimuli/4.jpeg	F	B
266.78700000000003	2.5	Testing	CF	116	2	C	1.008	stimuli/3.jpeg	stimuli/1.jpeg	F	C
270.28700000000003	2.5	Testing	BD	117	2	D	0.8170000000000001	stimuli/4.jpeg	stimuli/2.jpeg	B	D
275.987	2.5	Testing	DF	118	2	F	1.024	stimuli/2.jpeg	stimuli/3.jpeg	D	F
280.087	2.5	Testing	CF	119	1	C	1.105	stimuli/1.jpeg	stimuli/3.jpeg	C	F
284.587	2.5	Testing	BF	120	1	F	0.578	stimuli/3.jpeg	stimuli/4.jpeg	F	B
290.087	2.5	Testing	DF	121	1	F	0.625	stimuli/3.jpeg	stimuli/2.jpeg	F	D
294.587	2.5	Testing	AD	122	2	A	0.725	stimuli/2.jpeg	stimuli/6.jpeg	D	A
298.687	2.5	Testing	BC	123	1	C	0.5489999999999999	stimuli/1.jpeg	stimuli/4.jpeg	C	B
303.587	2.5	Testing	DF	124	2	F	0.7559999999999999	stimuli/2.jpeg	stimuli/3.jpeg	D	F
307.087	2.5	Testing	BD	125	1	D	0.909	stimuli/2.jpeg	stimuli/4.jpeg	D	B
312.587	2.5	Testing	AF	126	1	A	1.18	stimuli/6.jpeg	stimuli/3.jpeg	A	F
318.28700000000003	2.5	Testing	AE	127	2	A	1.208	stimuli/5.jpeg	stimuli/6.jpeg	E	A
322.78700000000003	2.5	Testing	AE	128	1	A	0.469	stimuli/6.jpeg	stimuli/5.jpeg	A	E
328.48699999999997	2.5	Testing	DE	129	2	D	0.552	stimuli/5.jpeg	stimuli/2.jpeg	E	D
333.38699999999994	2.5	Testing	BD	130	1	D	0.748	stimuli/2.jpeg	stimuli/4.jpeg	D	B
338.88699999999994	2.5	Testing	CE	131	2	C	0.585	stimuli/5.jpeg	stimuli/1.jpeg	E	C
342.98800000000006	2.5	Testing	AF	132	1	A	1.295	stimuli/6.jpeg	stimuli/3.jpeg	A	F
346.48800000000006	2.5	Testing	BD	133	1	D	0.914	stimuli/2.jpeg	stimuli/4.jpeg	D	B
351.38800000000003	2.5	Testing	BF	134	1	F	0.583	stimuli/3.jpeg	stimuli/4.jpeg	F	B
355.88800000000003	2.5	Testing	AD	135	1	A	0.96	stimuli/6.jpeg	stimuli/2.jpeg	A	D
361.38800000000003	2.5	Testing	BD	136	1	D	1.04	stimuli/2.jpeg	stimuli/4.jpeg	D	B
367.088	2.5	Testing	CF	137	1	C	1.4469999999999998	stimuli/1.jpeg	stimuli/3.jpeg	C	F
371.18800000000005	2.5	Testing	BC	138	1	C	0.504	stimuli/1.jpeg	stimuli/4.jpeg	C	B
374.68800000000005	2.5	Testing	BC	139	1	C	0.385	stimuli/1.jpeg	stimuli/4.jpeg	C	B
378.788	2.5	Testing	BC	140	1	B	0.41100000000000003	stimuli/4.jpeg	stimuli/1.jpeg	B	C
384.48800000000006	2.5	Testing	BC	141	2	C	0.474	stimuli/4.jpeg	stimuli/1.jpeg	B	C
389.38800000000003	2.5	Testing	AD	142	2	A	0.7959999999999999	stimuli/2.jpeg	stimuli/6.jpeg	D	A
392.88800000000003	2.5	Testing	DF	143	1	F	0.72	stimuli/3.jpeg	stimuli/2.jpeg	F	D
397.38800000000003	2.5	Testing	BD	144	2	D	0.988	stimuli/4.jpeg	stimuli/2.jpeg	B	D
402.88800000000003	2.5	Testing	AD	145	1	A	0.8140000000000001	stimuli/6.jpeg	stimuli/2.jpeg	A	D
407.38800000000003	2.5	Testing	CF	146	1	C	1.14	stimuli/1.jpeg	stimuli/3.jpeg	C	F
410.88800000000003	2.5	Testing	AC	147	1	C	1.1440000000000001	stimuli/1.jpeg	stimuli/6.jpeg	C	A
414.98800000000006	2.5	Testing	DE	148	1	D	1.29	stimuli/2.jpeg	stimuli/5.jpeg	D	E
420.48800000000006	2.5	Testing	AE	149	1	A	0.655	stimuli/6.jpeg	stimuli/5.jpeg	A	E
426.18800000000005	2.5	Testing	AC	150	2	C	1.172	stimuli/6.jpeg	stimuli/1.jpeg	A	C
431.088	2.5	Testing	BD	151	2	D	0.927	stimuli/4.jpeg	stimuli/2.jpeg	B	D
436.589	2.5	Testing	BC	152	1	C	0.758	stimuli/1.jpeg	stimuli/4.jpeg	C	B
442.289	2.5	Testing	BF	153	2	F	0.599	stimuli/4.jpeg	stimuli/3.jpeg	B	F
447.189	2.5	Testing	AC	154	1	C	1.02	stimuli/1.jpeg	stimuli/6.jpeg	C	A
450.689	2.5	Testing	AF	155	2	A	1.646	stimuli/3.jpeg	stimuli/6.jpeg	F	A
455.189	2.5	Testing	BE	156	2	E	1.254	stimuli/4.jpeg	stimuli/5.jpeg	B	E
459.289	2.5	Testing	AC	157	2	C	0.951	stimuli/6.jpeg	stimuli/1.jpeg	A	C
462.789	2.5	Testing	AD	158	1	A	0.75	stimuli/6.jpeg	stimuli/2.jpeg	A	D
467.689	2.5	Testing	DF	159	2	F	0.534	stimuli/2.jpeg	stimuli/3.jpeg	D	F
473.389	2.5	Testing	BE	160	2	E	1.113	stimuli/4.jpeg	stimuli/5.jpeg	B	E
478.889	2.5	Testing	AC	161	2	C	0.9390000000000001	stimuli/6.jpeg	stimuli/1.jpeg	A	C
482.98900000000003	2.5	Testing	AC	162	1	C	0.7040000000000001	stimuli/1.jpeg	stimuli/6.jpeg	C	A
487.48900000000003	2.5	Testing	CE	163	1	C	0.657	stimuli/1.jpeg	stimuli/5.jpeg	C	E
490.98900000000003	2.5	Testing	BC	164	2	C	0.585	stimuli/4.jpeg	stimuli/1.jpeg	B	C
